,No.,Code,Nama,Tanggal Pencatatan,Saham,Papan,Code-Nama
190,191,CSMI,Cipta Selera Murni Tbk.,2020-04-09 00:00:00,816061500,Pengembangan,Cipta Selera Murni Tbk. (CSMI)
191,192,CSRA,Cisadane Sawit Raya Tbk.,2020-01-09 00:00:00,2050000000,Utama,Cisadane Sawit Raya Tbk. (CSRA)
192,193,CTBN,Citra Tubindo Tbk.,1989-11-28 00:00:00,800371500,Utama,Citra Tubindo Tbk. (CTBN)
193,194,CTRA,Ciputra Development Tbk.,1994-03-28 00:00:00,18560303397,Utama,Ciputra Development Tbk. (CTRA)
194,195,CTTH,Citatah Tbk.,1996-07-03 00:00:00,1230839821,Pengembangan,Citatah Tbk. (CTTH)
195,196,DADA,Diamond Citra Propertindo Tbk.,2020-02-14 00:00:00,7178140008,Pengembangan,Diamond Citra Propertindo Tbk. (DADA)
196,197,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3141390962,Utama,Duta Anggada Realty Tbk. (DART)
197,198,DAYA,Duta Intidaya Tbk.,2016-06-28 00:00:00,2420547025,Pengembangan,Duta Intidaya Tbk. (DAYA)
198,199,DCII,DCI Indonesia Tbk.,2021-01-06 00:00:00,2383745900,Pengembangan,DCI Indonesia Tbk. (DCII)
199,200,DEAL,Dewata Freightinternational Tb,2018-11-11 00:00:00,1146170959,Pengembangan,Dewata Freightinternational Tb (DEAL)
200,201,DEFI,Danasupra Erapacific Tbk.,2001-07-06 00:00:00,687266666,PENGEMBANGAN,Danasupra Erapacific Tbk. (DEFI)
201,202,DEPO,Caturkarda Depo Bangunan Tbk.,2021-11-25 00:00:00,6790000000,Utama,Caturkarda Depo Bangunan Tbk. (DEPO)
202,203,DEWA,Darma Henwa Tbk,2007-09-26 00:00:00,21853733792,Utama,Darma Henwa Tbk (DEWA)
203,204,DFAM,Dafam Property Indonesia Tbk.,2018-04-27 00:00:00,1899852850,Pengembangan,Dafam Property Indonesia Tbk. (DFAM)
204,205,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5541165000,Utama,Nusa Konstruksi Enjiniring Tbk (DGIK)
205,206,DGNS,Diagnos Laboratorium Utama Tbk,2021-01-15 00:00:00,1250000000,Pengembangan,Diagnos Laboratorium Utama Tbk (DGNS)
206,207,DIGI,Arkadia Digital Media Tbk.,2018-09-18 00:00:00,1625000000,Pengembangan,Arkadia Digital Media Tbk. (DIGI)
207,208,DILD,Intiland Development Tbk.,1991-09-04 00:00:00,10365854185,Utama,Intiland Development Tbk. (DILD)
208,209,DIVA,Distribusi Voucher Nusantara T,2018-11-27 00:00:00,1428571400,Pengembangan,Distribusi Voucher Nusantara T (DIVA)
209,210,DKFT,Central Omega Resources Tbk.,1997-11-21 00:00:00,5638246600,Pengembangan,Central Omega Resources Tbk. (DKFT)
210,211,DLTA,Delta Djakarta Tbk.,1984-02-27 00:00:00,800659050,UTAMA,Delta Djakarta Tbk. (DLTA)
211,212,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48198111100,Utama,Puradelta Lestari Tbk. (DMAS)
212,213,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,7692307700,Pengembangan,Digital Mediatama Maxima Tbk. (DMMX)
213,214,DMND,Diamond Food Indonesia Tbk.,2020-01-22 00:00:00,9468359000,Utama,Diamond Food Indonesia Tbk. (DMND)
214,215,DNAR,Bank Oke Indonesia Tbk.,2014-07-11 00:00:00,13816569569,Utama,Bank Oke Indonesia Tbk. (DNAR)
215,216,DNET,Indoritel Makmur Internasional,11 Des 2000,14184000000,Pengembangan,Indoritel Makmur Internasional (DNET)
216,217,DOID,Delta Dunia Makmur Tbk.,2001-06-15 00:00:00,8621173232,Utama,Delta Dunia Makmur Tbk. (DOID)
217,218,DPNS,Duta Pertiwi Nusantara Tbk.,08 Ags 1990,331129952,Utama,Duta Pertiwi Nusantara Tbk. (DPNS)
218,219,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,4175000000,Utama,Dua Putra Utama Makmur Tbk. (DPUM)
219,220,DSFI,Dharma Samudera Fishing Indust,2000-03-24 00:00:00,1857135500,UTAMA,Dharma Samudera Fishing Indust (DSFI)
220,221,DSNG,Dharma Satya Nusantara Tbk.,2013-06-14 00:00:00,10599842400,Utama,Dharma Satya Nusantara Tbk. (DSNG)
221,222,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,770552320,Utama,Dian Swastatika Sentosa Tbk (DSSA)
222,223,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,1283330000,Utama,Jaya Bersama Indo Tbk. (DUCK)
223,224,DUTI,Duta Pertiwi Tbk,1994-11-02 00:00:00,1850000000,Pengembangan,Duta Pertiwi Tbk (DUTI)
224,225,DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11 00:00:00,1120000000,Utama,Darya-Varia Laboratoria Tbk. (DVLA)
225,226,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,9244713156,Pengembangan,Dwi Guna Laksana Tbk. (DWGL)
226,227,DYAN,Dyandra Media International Tb,2013-03-25 00:00:00,4272964279,Utama,Dyandra Media International Tb (DYAN)
227,228,EAST,Eastparc Hotel Tbk.,2019-07-09 00:00:00,4126366195,Pengembangan,Eastparc Hotel Tbk. (EAST)
228,229,ECII,Electronic City Indonesia Tbk.,2013-07-03 00:00:00,1334333000,PENGEMBANGAN,Electronic City Indonesia Tbk. (ECII)
229,230,EDGE,Indointernet Tbk.,2021-02-08 00:00:00,404050000,Pengembangan,Indointernet Tbk. (EDGE)
230,231,EKAD,Ekadharma International Tbk.,14 Ags 1990,698775000,UTAMA,Ekadharma International Tbk. (EKAD)
231,232,ELSA,Elnusa Tbk.,2008-02-06 00:00:00,7298500000,Utama,Elnusa Tbk. (ELSA)
232,233,ELTY,Bakrieland Development Tbk.,30 Okt 1995,43521913019,UTAMA,Bakrieland Development Tbk. (ELTY)
233,234,EMDE,Megapolitan Developments Tbk.,2011-01-12 00:00:00,3350000000,Pengembangan,Megapolitan Developments Tbk. (EMDE)
234,235,EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12 00:00:00,61197518483,Utama,Elang Mahkota Teknologi Tbk. (EMTK)
235,236,ENRG,Energi Mega Persada Tbk.,2004-06-07 00:00:00,24821230250,Pengembangan,Energi Mega Persada Tbk. (ENRG)
236,237,ENVY,Envy Technologies Indonesia Tb,2019-07-08 00:00:00,1800000000,Pengembangan,Envy Technologies Indonesia Tb (ENVY)
237,238,ENZO,Morenzo Abadi Perkasa Tbk.,2020-09-14 00:00:00,2162545164,PENGEMBANGAN,Morenzo Abadi Perkasa Tbk. (ENZO)
238,239,EPAC,Megalestari Epack Sentosaraya,2020-07-01 00:00:00,3303400000,Pengembangan,Megalestari Epack Sentosaraya (EPAC)
239,240,EPMT,Enseval Putera Megatrading Tbk,01 Ags 1994,2708640000,Pengembangan,Enseval Putera Megatrading Tbk (EPMT)
240,241,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,15950000000,Utama,Erajaya Swasembada Tbk. (ERAA)
241,242,ERTX,Eratex Djaja Tbk.,21 Ags 1990,1286539792,Pengembangan,Eratex Djaja Tbk. (ERTX)
242,243,ESIP,Sinergi Inti Plastindo Tbk.,2019-11-14 00:00:00,640347707,Pengembangan,Sinergi Inti Plastindo Tbk. (ESIP)
243,244,ESSA,Surya Esa Perkasa Tbk.,2012-02-01 00:00:00,15660887000,Utama,Surya Esa Perkasa Tbk. (ESSA)
244,245,ESTA,Esta Multi Usaha Tbk.,2020-03-09 00:00:00,630000000,Pengembangan,Esta Multi Usaha Tbk. (ESTA)
245,246,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,2015208720,UTAMA,Ever Shine Tex Tbk. (ESTI)
246,247,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,968297000,Utama,Eterindo Wahanatama Tbk (ETWA)
247,248,EXCL,XL Axiata Tbk.,2005-09-29 00:00:00,10724674776,Utama,XL Axiata Tbk. (EXCL)
248,249,FAPA,FAP Agri Tbk.,2021-01-04 00:00:00,3629411800,Pengembangan,FAP Agri Tbk. (FAPA)
249,250,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,3990277158,Pengembangan,Fast Food Indonesia Tbk. (FAST)
250,251,FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,2477888787,Utama,Fajar Surya Wisesa Tbk. (FASW)
251,252,FILM,MD Pictures Tbk.,07 Ags 2018,9511217000,Utama,MD Pictures Tbk. (FILM)
252,253,FIMP,Fimperkasa Utama Tbk.,2021-04-09 00:00:00,400000775,Akselerasi,Fimperkasa Utama Tbk. (FIMP)
253,254,FIRE,Alfa Energi Investama Tbk.,2017-06-09 00:00:00,1475363179,Pengembangan,Alfa Energi Investama Tbk. (FIRE)
254,255,FISH,FKS Multi Agro Tbk.,2002-01-18 00:00:00,480000000,Pengembangan,FKS Multi Agro Tbk. (FISH)
255,256,FITT,Hotel Fitra International Tbk.,2019-06-11 00:00:00,633480487,PENGEMBANGAN,Hotel Fitra International Tbk. (FITT)
256,257,FLMC,Falmaco Nonwoven Industri Tbk.,2021-07-08 00:00:00,781250000,Akselerasi,Falmaco Nonwoven Industri Tbk. (FLMC)
257,258,FMII,Fortune Mate Indonesia Tbk,2000-06-30 00:00:00,2721000000,Pengembangan,Fortune Mate Indonesia Tbk (FMII)
258,259,FOOD,Sentra Food Indonesia Tbk.,2019-01-08 00:00:00,650000000,Pengembangan,Sentra Food Indonesia Tbk. (FOOD)
259,260,FORU,Fortune Indonesia Tbk,2002-01-17 00:00:00,465224000,PENGEMBANGAN,Fortune Indonesia Tbk (FORU)
260,261,FORZ,Forza Land Indonesia Tbk.,2017-04-28 00:00:00,1984009887,UTAMA,Forza Land Indonesia Tbk. (FORZ)
261,262,FPNI,Lotte Chemical Titan Tbk.,2002-03-21 00:00:00,5566414000,Pengembangan,Lotte Chemical Titan Tbk. (FPNI)
262,263,FREN,Smartfren Telecom Tbk.,2006-11-29 00:00:00,308105760639,Utama,Smartfren Telecom Tbk. (FREN)
263,264,FUJI,Fuji Finance Indonesia Tbk.,2019-07-09 00:00:00,1105000000,PENGEMBANGAN,Fuji Finance Indonesia Tbk. (FUJI)
264,265,GAMA,Aksara Global Development Tbk.,2012-07-11 00:00:00,10011027656,UTAMA,Aksara Global Development Tbk. (GAMA)
265,266,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9242500000,PENGEMBANGAN,Gunawan Dianjaya Steel Tbk. (GDST)
266,267,GDYR,Goodyear Indonesia Tbk.,22 Des 1980,410000000,Utama,Goodyear Indonesia Tbk. (GDYR)
267,268,GEMA,Gema Grahasarana Tbk.,12 Ags 2002,1600000000,Pengembangan,Gema Grahasarana Tbk. (GEMA)
268,269,GEMS,Golden Energy Mines Tbk.,2011-11-17 00:00:00,5882353000,Utama,Golden Energy Mines Tbk. (GEMS)
269,270,GGRM,Gudang Garam Tbk.,27 Ags 1990,1924088000,Utama,Gudang Garam Tbk. (GGRM)
270,271,GGRP,Gunung Raja Paksi Tbk.,2019-09-19 00:00:00,12111376157,Pengembangan,Gunung Raja Paksi Tbk. (GGRP)
271,272,GHON,Gihon Telekomunikasi Indonesia,2018-04-09 00:00:00,550000000,Utama,Gihon Telekomunikasi Indonesia (GHON)
272,273,GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11 00:00:00,25886576254,Utama,Garuda Indonesia (Persero) Tbk (GIAA)
273,274,GJTL,Gajah Tunggal Tbk.,08 Mei 1990,3484800000,Utama,Gajah Tunggal Tbk. (GJTL)
274,275,GLOB,Globe Kita Terang Tbk.,2012-07-10 00:00:00,1111112000,Pengembangan,Globe Kita Terang Tbk. (GLOB)
275,276,GLVA,Galva Technologies Tbk.,23 Des 2019,1500000000,Pengembangan,Galva Technologies Tbk. (GLVA)
276,277,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,28233511500,Utama,Garuda Maintenance Facility Ae (GMFI)
277,278,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,101538000,Pengembangan,Gowa Makassar Tourism Developm (GMTD)
278,279,GOLD,Visi Telekomunikasi Infrastruk,2010-07-07 00:00:00,1277276000,PENGEMBANGAN,Visi Telekomunikasi Infrastruk (GOLD)
279,280,GOLL,Golden Plantation Tbk.,23 Des 2014,3665000759,Pengembangan,Golden Plantation Tbk. (GOLL)
280,281,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,36897901455,Utama,Garudafood Putra Putri Jaya Tb (GOOD)
281,282,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4276655336,Utama,Perdana Gapuraprima Tbk. (GPRA)
282,283,GPSO,Geoprima Solusi Tbk.,2021-09-06 00:00:00,666666600,Pengembangan,Geoprima Solusi Tbk. (GPSO)
283,284,GSMF,Equity Development Investment,23 Okt 1989,12512840555,Pengembangan,Equity Development Investment (GSMF)
284,285,GTBO,Garda Tujuh Buana Tbk,2009-07-09 00:00:00,2500000000,Pengembangan,Garda Tujuh Buana Tbk (GTBO)
285,286,GTSI,GTS Internasional Tbk.,2021-09-08 00:00:00,15819142767,Utama,GTS Internasional Tbk. (GTSI)
286,287,GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,7800760000,UTAMA,Greenwood Sejahtera Tbk. (GWSA)
287,288,GZCO,Gozco Plantations Tbk.,15 Mei 2008,6000000000,Utama,Gozco Plantations Tbk. (GZCO)
288,289,HADE,Himalaya Energi Perkasa Tbk.,2004-04-12 00:00:00,2120000000,PENGEMBANGAN,Himalaya Energi Perkasa Tbk. (HADE)
289,290,HAIS,Hasnur Internasional Shipping,2021-09-01 00:00:00,2626250000,Utama,Hasnur Internasional Shipping (HAIS)
290,291,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,6542445783,Utama,Radana Bhaskara Finance Tbk. (HDFA)
291,292,HDIT,Hensel Davest Indonesia Tbk.,2019-07-12 00:00:00,1524680000,Utama,Hensel Davest Indonesia Tbk. (HDIT)
293,294,HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,14890000000,Utama,Medikaloka Hermina Tbk. (HEAL)
294,295,HELI,Jaya Trishindo Tbk.,2018-03-27 00:00:00,832862387,PENGEMBANGAN,Jaya Trishindo Tbk. (HELI)
295,296,HERO,Hero Supermarket Tbk.,21 Ags 1989,4183634000,Utama,Hero Supermarket Tbk. (HERO)
296,297,HEXA,Hexindo Adiperkasa Tbk.,1995-02-13 00:00:00,840000000,Utama,Hexindo Adiperkasa Tbk. (HEXA)
297,298,HITS,Humpuss Intermoda Transportasi,15 Des 1997,7101084801,Utama,Humpuss Intermoda Transportasi (HITS)
298,299,HKMU,HK Metals Utama Tbk.,09 Okt 2018,3221750000,Utama,HK Metals Utama Tbk. (HKMU)
299,300,HMSP,H.M. Sampoerna Tbk.,15 Ags 1990,116318076900,Utama,H.M. Sampoerna Tbk. (HMSP)
300,301,HOKI,Buyung Poetra Sembada Tbk.,2017-06-22 00:00:00,9677752680,Utama,Buyung Poetra Sembada Tbk. (HOKI)
301,302,HOME,Hotel Mandarine Regency Tbk.,2008-07-17 00:00:00,22212194782,PENGEMBANGAN,Hotel Mandarine Regency Tbk. (HOME)
302,303,HOMI,Grand House Mulia Tbk.,2020-09-10 00:00:00,787500000,PENGEMBANGAN,Grand House Mulia Tbk. (HOMI)
303,304,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2129167100,PENGEMBANGAN,Harapan Duta Pertiwi Tbk. (HOPE)
304,305,HOTL,Saraswati Griya Lestari Tbk.,2013-01-10 00:00:00,3550001452,Utama,Saraswati Griya Lestari Tbk. (HOTL)
305,306,HRME,Menteng Heritage Realty Tbk.,2019-04-12 00:00:00,5958750000,Pengembangan,Menteng Heritage Realty Tbk. (HRME)
306,307,HRTA,Hartadinata Abadi Tbk.,2017-06-21 00:00:00,4605262400,Utama,Hartadinata Abadi Tbk. (HRTA)
307,308,HRUM,Harum Energy Tbk.,06 Okt 2010,2703620000,Utama,Harum Energy Tbk. (HRUM)
308,309,IATA,Indonesia Transport & Infrastr,2006-09-13 00:00:00,11415812114,Pengembangan,Indonesia Transport & Infrastr (IATA)
309,310,IBFN,Intan Baruprana Finance Tbk.,22 Des 2014,1517332349,Pengembangan,Intan Baruprana Finance Tbk. (IBFN)
310,311,IBST,Inti Bangun Sejahtera Tbk.,31 Ags 2012,1350904927,Utama,Inti Bangun Sejahtera Tbk. (IBST)
311,312,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11661908000,Utama,Indofood CBP Sukses Makmur Tbk (ICBP)
312,313,ICON,Island Concepts Indonesia Tbk.,2005-07-08 00:00:00,1089750000,Pengembangan,Island Concepts Indonesia Tbk. (ICON)
313,314,IDEA,Idea Indonesia Akademi Tbk.,2021-09-09 00:00:00,1062437500,Akselerasi,Idea Indonesia Akademi Tbk. (IDEA)
314,315,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2003000000,Utama,Indonesia Pondasi Raya Tbk. (IDPR)
315,316,IFII,Indonesia Fibreboard Industry,10 Des 2019,9412000000,Utama,Indonesia Fibreboard Industry (IFII)
316,317,IFSH,Ifishdeco Tbk.,05 Des 2019,2125000000,Pengembangan,Ifishdeco Tbk. (IFSH)
317,318,IGAR,Champion Pacific Indonesia Tbk,1990-11-05 00:00:00,972204500,Utama,Champion Pacific Indonesia Tbk (IGAR)
318,319,IIKP,Inti Agri Resources Tbk,14 Okt 2002,33600000000,Pengembangan,Inti Agri Resources Tbk (IIKP)
319,320,IKAI,Intikeramik Alamasri Industri,1997-06-04 00:00:00,13305799387,Utama,Intikeramik Alamasri Industri (IKAI)
320,321,IKAN,Era Mandiri Cemerlang Tbk.,2020-02-12 00:00:00,833333000,Pengembangan,Era Mandiri Cemerlang Tbk. (IKAN)
321,322,IKBI,Sumi Indo Kabel Tbk.,1991-01-21 00:00:00,1224000000,PENGEMBANGAN,Sumi Indo Kabel Tbk. (IKBI)
322,323,IMAS,Indomobil Sukses Internasional,1993-11-15 00:00:00,3994291039,Utama,Indomobil Sukses Internasional (IMAS)
323,324,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,8654325000,Utama,Indomobil Multi Jasa Tbk. (IMJS)
324,325,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,4833500000,Pengembangan,Impack Pratama Industri Tbk. (IMPC)
325,326,INAF,Indofarma Tbk.,2001-04-17 00:00:00,3099267500,Utama,Indofarma Tbk. (INAF)
326,327,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633600000,PENGEMBANGAN,Indal Aluminium Industry Tbk. (INAI)
327,328,INCF,Indo Komoditi Korpora Tbk.,2016-09-06 00:00:00,1438370465,Pengembangan,Indo Komoditi Korpora Tbk. (INCF)
328,329,INCI,Intanwijaya Internasional Tbk,1990-07-24 00:00:00,196121237,Utama,Intanwijaya Internasional Tbk (INCI)
329,330,INCO,Vale Indonesia Tbk.,16 Mei 1990,9936338720,Utama,Vale Indonesia Tbk. (INCO)
330,331,INDF,Indofood Sukses Makmur Tbk.,1994-07-14 00:00:00,8780426500,Utama,Indofood Sukses Makmur Tbk. (INDF)
331,332,INDO,Royalindo Investa Wijaya Tbk.,2020-01-13 00:00:00,4316404405,PENGEMBANGAN,Royalindo Investa Wijaya Tbk. (INDO)
332,333,INDR,Indo-Rama Synthetics Tbk.,03 Ags 1990,654351707,Utama,Indo-Rama Synthetics Tbk. (INDR)
333,334,INDS,Indospring Tbk.,10 Ags 1990,656249710,Utama,Indospring Tbk. (INDS)
334,335,INDX,Tanah Laut Tbk,17 Mei 2001,437913588,Pengembangan,Tanah Laut Tbk (INDX)
335,336,INDY,Indika Energy Tbk.,2008-06-11 00:00:00,5210192000,Utama,Indika Energy Tbk. (INDY)
336,337,INKP,Indah Kiat Pulp & Paper Tbk.,1990-07-16 00:00:00,5470982941,Utama,Indah Kiat Pulp & Paper Tbk. (INKP)
337,338,INOV,Inocycle Technology Group Tbk.,2019-07-10 00:00:00,1808221900,Pengembangan,Inocycle Technology Group Tbk. (INOV)
338,339,INPC,Bank Artha Graha Internasional,23 Ags 1990,20065450977,Utama,Bank Artha Graha Internasional (INPC)
339,340,INPP,Indonesian Paradise Property T,2004-01-12 00:00:00,11181971732,Pengembangan,Indonesian Paradise Property T (INPP)
340,341,INPS,Indah Prakasa Sentosa Tbk.,2018-04-06 00:00:00,650000000,Pengembangan,Indah Prakasa Sentosa Tbk. (INPS)
341,342,INRU,Toba Pulp Lestari Tbk.,1990-06-18 00:00:00,1388883283,Pengembangan,Toba Pulp Lestari Tbk. (INRU)
342,343,INTA,Intraco Penta Tbk.,23 Ags 1993,3343935022,Pengembangan,Intraco Penta Tbk. (INTA)
343,344,INTD,Inter Delta Tbk,18 Des 1989,591828000,Pengembangan,Inter Delta Tbk (INTD)
344,345,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3681231699,Utama,Indocement Tunggal Prakarsa Tb (INTP)
345,346,IPAC,Era Graharealty Tbk.,2021-06-30 00:00:00,949868500,Akselerasi,Era Graharealty Tbk. (IPAC)
346,347,IPCC,Indonesia Kendaraan Terminal T,2018-07-09 00:00:00,1818384820,Utama,Indonesia Kendaraan Terminal T (IPCC)
347,348,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5284811100,Utama,Jasa Armada Indonesia Tbk. (IPCM)
348,349,IPOL,Indopoly Swakarsa Industry Tbk,2010-07-09 00:00:00,6443379509,Utama,Indopoly Swakarsa Industry Tbk (IPOL)
349,350,IPPE,Indo Pureco Pratama Tbk.,09 Des 2021,4600000000,Pengembangan,Indo Pureco Pratama Tbk. (IPPE)
350,351,IPTV,MNC Vision Networks Tbk.,2019-07-08 00:00:00,42197950841,Utama,MNC Vision Networks Tbk. (IPTV)
351,352,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1600000000,Pengembangan,Itama Ranoraya Tbk. (IRRA)
352,353,ISAT,Indosat Tbk.,19 Okt 1994,5433933500,Utama,Indosat Tbk. (ISAT)
353,354,ISSP,Steel Pipe Industry of Indones,2013-02-22 00:00:00,7185992035,Utama,Steel Pipe Industry of Indones (ISSP)
354,355,ITIC,Indonesian Tobacco Tbk.,2019-07-04 00:00:00,940720000,Pengembangan,Indonesian Tobacco Tbk. (ITIC)
355,356,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,870701000,Pengembangan,Sumber Energi Andalan Tbk. (ITMA)
356,357,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1129925000,Utama,Indo Tambangraya Megah Tbk. (ITMG)
357,358,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,813626700,Pengembangan,Jasnita Telekomindo Tbk. (JAST)
358,359,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,3774685500,Utama,Jaya Agra Wattie Tbk. (JAWA)
359,360,JAYA,Armada Berjaya Trans Tbk.,2019-02-21 00:00:00,750000210,Pengembangan,Armada Berjaya Trans Tbk. (JAYA)
360,361,JECC,Jembo Cable Company Tbk.,1992-11-18 00:00:00,151200000,PENGEMBANGAN,Jembo Cable Company Tbk. (JECC)
361,362,JGLE,Graha Andrasentra Propertindo,2016-06-29 00:00:00,22581909405,Pengembangan,Graha Andrasentra Propertindo (JGLE)
362,363,JIHD,Jakarta International Hotels &,1984-02-29 00:00:00,2329040482,Pengembangan,Jakarta International Hotels & (JIHD)
363,364,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16308519860,Utama,Jaya Konstruksi Manggala Prata (JKON)
364,365,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Ags 1997,150000000,Pengembangan,Jakarta Kyoei Steel Works Tbk. (JKSW)
365,366,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1000000000,Pengembangan,Asuransi Jiwa Syariah Jasa Mit (JMAS)
366,367,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11726575201,Utama,Japfa Comfeed Indonesia Tbk. (JPFA)
367,368,JRPT,Jaya Real Property Tbk.,1994-06-29 00:00:00,13750000000,Utama,Jaya Real Property Tbk. (JRPT)
368,369,JSKY,Sky Energy Indonesia Tbk.,2018-03-28 00:00:00,2032540000,Utama,Sky Energy Indonesia Tbk. (JSKY)
369,370,JSMR,Jasa Marga (Persero) Tbk.,2007-11-12 00:00:00,7257871200,Utama,Jasa Marga (Persero) Tbk. (JSMR)
370,371,JSPT,Jakarta Setiabudi Internasiona,1998-01-12 00:00:00,2318736000,Pengembangan,Jakarta Setiabudi Internasiona (JSPT)
371,372,JTPE,Jasuindo Tiga Perkasa Tbk.,2002-04-16 00:00:00,1713012500,Pengembangan,Jasuindo Tiga Perkasa Tbk. (JTPE)
372,373,KAEF,Kimia Farma Tbk.,2001-07-04 00:00:00,5554000000,Utama,Kimia Farma Tbk. (KAEF)
373,374,KARW,ICTSI Jasa Prima Tbk.,20 Des 1994,587152700,Pengembangan,ICTSI Jasa Prima Tbk. (KARW)
374,375,KAYU,Darmi Bersaudara Tbk.,2019-07-04 00:00:00,665000000,Pengembangan,Darmi Bersaudara Tbk. (KAYU)
375,376,KBAG,Karya Bersama Anugerah Tbk.,2020-04-08 00:00:00,7150001507,Pengembangan,Karya Bersama Anugerah Tbk. (KBAG)
376,377,KBLI,KMI Wire & Cable Tbk.,1992-07-06 00:00:00,4007235107,Utama,KMI Wire & Cable Tbk. (KBLI)
377,378,KBLM,Kabelindo Murni Tbk.,1992-06-01 00:00:00,1120000000,PENGEMBANGAN,Kabelindo Murni Tbk. (KBLM)
378,379,KBLV,First Media Tbk.,2000-02-25 00:00:00,1742167907,Pengembangan,First Media Tbk. (KBLV)
379,380,KBRI,Kertas Basuki Rachmat Indonesi,2008-07-11 00:00:00,8687995734,PENGEMBANGAN,Kertas Basuki Rachmat Indonesi (KBRI)
