,No.,Code,Nama,Tanggal Pencatatan,Saham,Papan,Code-Nama
380,381,KDSI,Kedawung Setia Industrial Tbk.,1996-07-29 00:00:00,405000000,Pengembangan,Kedawung Setia Industrial Tbk. (KDSI)
381,382,KEEN,Kencana Energi Lestari Tbk.,2019-09-02 00:00:00,3666312500,Utama,Kencana Energi Lestari Tbk. (KEEN)
382,383,KEJU,Mulia Boga Raya Tbk.,2019-11-25 00:00:00,1500000000,Pengembangan,Mulia Boga Raya Tbk. (KEJU)
383,384,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14929100000,Pengembangan,Keramika Indonesia Assosiasi T (KIAS)
384,385,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276000000,UTAMA,Kedaung Indah Can Tbk (KICI)
385,386,KIJA,Kawasan Industri Jababeka Tbk.,1995-01-10 00:00:00,20824888369,Utama,Kawasan Industri Jababeka Tbk. (KIJA)
386,387,KINO,Kino Indonesia Tbk.,11 Des 2015,1428571500,UTAMA,Kino Indonesia Tbk. (KINO)
387,388,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,717239900,Pengembangan,Kioson Komersial Indonesia Tbk (KIOS)
388,389,KJEN,Krida Jaringan Nusantara Tbk.,2019-07-01 00:00:00,500000000,Pengembangan,Krida Jaringan Nusantara Tbk. (KJEN)
389,390,KKGI,Resource Alam Indonesia Tbk.,1991-07-01 00:00:00,5000000000,Utama,Resource Alam Indonesia Tbk. (KKGI)
390,391,KLBF,Kalbe Farma Tbk.,1991-07-30 00:00:00,46875122110,Utama,Kalbe Farma Tbk. (KLBF)
391,392,KMDS,Kurniamitra Duta Sentosa Tbk.,2020-09-07 00:00:00,800000000,Pengembangan,Kurniamitra Duta Sentosa Tbk. (KMDS)
392,393,KMTR,Kirana Megatara Tbk.,2017-06-19 00:00:00,8215366379,Pengembangan,Kirana Megatara Tbk. (KMTR)
393,394,KOBX,Kobexindo Tractors Tbk.,2012-07-05 00:00:00,2272500000,Utama,Kobexindo Tractors Tbk. (KOBX)
394,395,KOIN,Kokoh Inti Arebama Tbk,2008-04-09 00:00:00,980843732,PENGEMBANGAN,Kokoh Inti Arebama Tbk (KOIN)
395,396,KONI,Perdana Bangun Pusaka Tbk,22 Ags 1995,312000000,Pengembangan,Perdana Bangun Pusaka Tbk (KONI)
396,397,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697266668,PENGEMBANGAN,Mitra Energi Persada Tbk. (KOPI)
397,398,KOTA,DMS Propertindo Tbk.,2019-07-09 00:00:00,10546185701,UTAMA,DMS Propertindo Tbk. (KOTA)
398,399,KPAL,Steadfast Marine Tbk.,2018-06-08 00:00:00,1069009400,UTAMA,Steadfast Marine Tbk. (KPAL)
399,400,KPAS,Cottonindo Ariesta Tbk.,05 Okt 2018,768043253,Pengembangan,Cottonindo Ariesta Tbk. (KPAS)
400,401,KPIG,MNC Land Tbk.,2000-03-30 00:00:00,80625726664,Pengembangan,MNC Land Tbk. (KPIG)
401,402,KRAH,Grand Kartech Tbk.,2013-11-08 00:00:00,971190000,Pengembangan,Grand Kartech Tbk. (KRAH)
402,403,KRAS,Krakatau Steel (Persero) Tbk.,2010-11-10 00:00:00,19346396900,Utama,Krakatau Steel (Persero) Tbk. (KRAS)
403,404,KREN,Kresna Graha Investama Tbk.,2002-06-28 00:00:00,18208470100,Utama,Kresna Graha Investama Tbk. (KREN)
404,405,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1292570540,Pengembangan,Ace Oldfields Tbk. (KUAS)
405,406,LABA,Ladangbaja Murni Tbk.,2021-06-10 00:00:00,1000000100,Pengembangan,Ladangbaja Murni Tbk. (LABA)
406,407,LAND,Trimitra Propertindo Tbk.,23 Ags 2018,2792620000,Pengembangan,Trimitra Propertindo Tbk. (LAND)
407,408,LAPD,Leyand International Tbk.,2001-07-17 00:00:00,3966350139,Pengembangan,Leyand International Tbk. (LAPD)
408,409,LCGP,Eureka Prima Jakarta Tbk.,2007-07-13 00:00:00,5630000914,Pengembangan,Eureka Prima Jakarta Tbk. (LCGP)
409,410,LCKM,LCK Global Kedaton Tbk.,2018-01-16 00:00:00,1000000000,Pengembangan,LCK Global Kedaton Tbk. (LCKM)
410,411,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,4049616328,UTAMA,Logindo Samudramakmur Tbk. (LEAD)
411,412,LFLO,Imago Mulia Persada Tbk.,2021-04-07 00:00:00,1301002100,AKSELERASI,Imago Mulia Persada Tbk. (LFLO)
412,413,LIFE,Asuransi Jiwa Sinarmas MSIG Tb,2019-07-09 00:00:00,2100000000,Utama,Asuransi Jiwa Sinarmas MSIG Tb (LIFE)
413,414,LINK,Link Net Tbk.,2014-06-02 00:00:00,2863195484,Utama,Link Net Tbk. (LINK)
414,415,LION,Lion Metal Works Tbk.,20 Ags 1993,520160000,Utama,Lion Metal Works Tbk. (LION)
415,416,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787851525,Pengembangan,Limas Indonesia Makmur Tbk (LMAS)
416,417,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1008517669,PENGEMBANGAN,Langgeng Makmur Industri Tbk. (LMPI)
417,418,LMSH,Lionmesh Prima Tbk.,1990-06-04 00:00:00,96000000,Pengembangan,Lionmesh Prima Tbk. (LMSH)
418,419,LPCK,Lippo Cikarang Tbk,1997-07-24 00:00:00,2679600000,Utama,Lippo Cikarang Tbk (LPCK)
419,420,LPGI,Lippo General Insurance Tbk.,1997-07-22 00:00:00,150000000,UTAMA,Lippo General Insurance Tbk. (LPGI)
420,421,LPIN,Multi Prima Sejahtera Tbk,1990-02-05 00:00:00,425000000,Pengembangan,Multi Prima Sejahtera Tbk (LPIN)
421,422,LPKR,Lippo Karawaci Tbk.,1996-06-28 00:00:00,70898018369,Utama,Lippo Karawaci Tbk. (LPKR)
422,423,LPLI,Star Pacific Tbk,23 Okt 1989,1170432803,Pengembangan,Star Pacific Tbk (LPLI)
423,424,LPPF,Matahari Department Store Tbk.,09 Okt 1989,2626148780,Utama,Matahari Department Store Tbk. (LPPF)
424,425,LPPS,Lenox Pasifik Investama Tbk.,1994-03-28 00:00:00,2588250000,Pengembangan,Lenox Pasifik Investama Tbk. (LPPS)
425,426,LRNA,Eka Sari Lorena Transport Tbk.,2014-04-15 00:00:00,350000022,Pengembangan,Eka Sari Lorena Transport Tbk. (LRNA)
426,427,LSIP,PP London Sumatra Indonesia Tb,1996-07-05 00:00:00,6822863965,Utama,PP London Sumatra Indonesia Tb (LSIP)
427,428,LTLS,Lautan Luas Tbk.,1997-07-21 00:00:00,1560000000,Utama,Lautan Luas Tbk. (LTLS)
428,429,LUCK,Sentral Mitra Informatika Tbk.,2018-11-28 00:00:00,715749640,Pengembangan,Sentral Mitra Informatika Tbk. (LUCK)
429,430,LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,1035000000,Akselerasi,Lima Dua Lima Tiga Tbk. (LUCY)
430,431,MABA,Marga Abhinaya Abadi Tbk.,2017-06-22 00:00:00,15365229912,PENGEMBANGAN,Marga Abhinaya Abadi Tbk. (MABA)
431,432,MAGP,Multi Agro Gemilang Plantation,2013-01-16 00:00:00,9000000004,PENGEMBANGAN,Multi Agro Gemilang Plantation (MAGP)
432,433,MAIN,Malindo Feedmill Tbk.,2006-02-10 00:00:00,2238750000,Utama,Malindo Feedmill Tbk. (MAIN)
433,434,MAMI,Mas Murni Indonesia Tbk,1994-02-09 00:00:00,12299116490,Utama,Mas Murni Indonesia Tbk (MAMI)
434,435,MAPA,Map Aktif Adiperkasa Tbk.,2018-07-05 00:00:00,2850400000,Pengembangan,Map Aktif Adiperkasa Tbk. (MAPA)
435,436,MAPB,MAP Boga Adiperkasa Tbk.,2017-06-21 00:00:00,2170922900,PENGEMBANGAN,MAP Boga Adiperkasa Tbk. (MAPB)
436,437,MAPI,Mitra Adiperkasa Tbk.,2004-11-10 00:00:00,16600000000,Utama,Mitra Adiperkasa Tbk. (MAPI)
437,438,MARI,Mahaka Radio Integra Tbk.,2016-02-11 00:00:00,5252644000,Pengembangan,Mahaka Radio Integra Tbk. (MARI)
438,439,MARK,Mark Dynamics Indonesia Tbk.,2017-07-12 00:00:00,3800000310,UTAMA,Mark Dynamics Indonesia Tbk. (MARK)
439,440,MASA,Multistrada Arah Sarana Tbk.,2005-06-09 00:00:00,9182946945,Utama,Multistrada Arah Sarana Tbk. (MASA)
440,441,MASB,Bank Multiarta Sentosa Tbk.,2021-06-30 00:00:00,1226902970,Pengembangan,Bank Multiarta Sentosa Tbk. (MASB)
441,442,MAYA,Bank Mayapada Internasional Tb,29 Ags 1997,11714045161,Utama,Bank Mayapada Internasional Tb (MAYA)
442,443,MBAP,Mitrabara Adiperdana Tbk.,2014-07-10 00:00:00,1227271952,Pengembangan,Mitrabara Adiperdana Tbk. (MBAP)
443,444,MBSS,Mitrabahtera Segara Sejati Tbk,2011-04-06 00:00:00,1750026639,Utama,Mitrabahtera Segara Sejati Tbk (MBSS)
444,445,MBTO,Martina Berto Tbk.,2011-01-13 00:00:00,1070000000,Utama,Martina Berto Tbk. (MBTO)
445,446,MCAS,M Cash Integrasi Tbk.,2017-11-01 00:00:00,867933300,Pengembangan,M Cash Integrasi Tbk. (MCAS)
446,447,MCOL,Prima Andalan Mandiri Tbk.,2021-09-07 00:00:00,3555560000,Utama,Prima Andalan Mandiri Tbk. (MCOL)
447,448,MCOR,Bank China Construction Bank I,2007-07-03 00:00:00,37540533209,Utama,Bank China Construction Bank I (MCOR)
448,449,MDIA,Intermedia Capital Tbk.,2014-04-11 00:00:00,39215538400,UTAMA,Intermedia Capital Tbk. (MDIA)
449,450,MDKA,Merdeka Copper Gold Tbk.,2015-06-19 00:00:00,22904850815,Pengembangan,Merdeka Copper Gold Tbk. (MDKA)
450,451,MDKI,Emdeki Utama Tbk.,2017-09-25 00:00:00,2530150002,Utama,Emdeki Utama Tbk. (MDKI)
451,452,MDLN,Modernland Realty Tbk.,1993-01-18 00:00:00,12533067322,Utama,Modernland Realty Tbk. (MDLN)
452,453,MDRN,Modern Internasional Tbk.,1991-07-16 00:00:00,7632167798,Utama,Modern Internasional Tbk. (MDRN)
453,454,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,25136231252,Utama,Medco Energi Internasional Tbk (MEDC)
454,455,MEGA,Bank Mega Tbk.,2000-04-17 00:00:00,6894138227,UTAMA,Bank Mega Tbk. (MEGA)
455,456,MERK,Merck Tbk.,1981-07-23 00:00:00,448000000,PENGEMBANGAN,Merck Tbk. (MERK)
456,457,META,Nusantara Infrastructure Tbk.,2001-07-18 00:00:00,17710708194,UTAMA,Nusantara Infrastructure Tbk. (META)
457,458,MFIN,Mandala Multifinance Tbk.,2005-09-06 00:00:00,2650000000,Pengembangan,Mandala Multifinance Tbk. (MFIN)
458,459,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757581000,Pengembangan,Multifiling Mitra Indonesia Tb (MFMI)
459,460,MGLV,Panca Anugrah Wisesa Tbk.,2021-06-08 00:00:00,1900075700,Akselerasi,Panca Anugrah Wisesa Tbk. (MGLV)
460,461,MGNA,Magna Investama Mandiri Tbk.,2014-07-08 00:00:00,1003080977,Pengembangan,Magna Investama Mandiri Tbk. (MGNA)
461,462,MGRO,Mahkota Group Tbk.,2018-07-12 00:00:00,3554445700,Utama,Mahkota Group Tbk. (MGRO)
462,463,MICE,Multi Indocitra Tbk.,21 Des 2005,600000000,PENGEMBANGAN,Multi Indocitra Tbk. (MICE)
463,464,MIDI,Midi Utama Indonesia Tbk.,2010-11-30 00:00:00,2882353000,PENGEMBANGAN,Midi Utama Indonesia Tbk. (MIDI)
464,465,MIKA,Mitra Keluarga Karyasehat Tbk.,2015-03-24 00:00:00,14246349500,Utama,Mitra Keluarga Karyasehat Tbk. (MIKA)
465,466,MINA,Sanurhasta Mitra Tbk.,2017-04-28 00:00:00,6562500000,Pengembangan,Sanurhasta Mitra Tbk. (MINA)
466,467,MIRA,Mitra International Resources,1997-01-30 00:00:00,3961452039,Pengembangan,Mitra International Resources (MIRA)
467,468,MITI,Mitra Investindo Tbk.,1997-07-16 00:00:00,2442988366,Pengembangan,Mitra Investindo Tbk. (MITI)
468,469,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5500000000,Pengembangan,Mitra Komunikasi Nusantara Tbk (MKNT)
469,470,MKPI,Metropolitan Kentjana Tbk.,2009-07-10 00:00:00,948194000,PENGEMBANGAN,Metropolitan Kentjana Tbk. (MKPI)
470,471,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2107000000,UTAMA,Multi Bintang Indonesia Tbk. (MLBI)
471,472,MLIA,Mulia Industrindo Tbk,1994-01-17 00:00:00,1323000000,PENGEMBANGAN,Mulia Industrindo Tbk (MLIA)
472,473,MLPL,Multipolar Tbk.,1989-11-06 00:00:00,14639632470,Utama,Multipolar Tbk. (MLPL)
473,474,MLPT,Multipolar Technology Tbk.,2013-07-08 00:00:00,1875000000,Utama,Multipolar Technology Tbk. (MLPT)
474,475,MMLP,Mega Manunggal Property Tbk.,2015-06-12 00:00:00,6889134608,Pengembangan,Mega Manunggal Property Tbk. (MMLP)
475,476,MNCN,Media Nusantara Citra Tbk.,2007-06-22 00:00:00,15049787710,Utama,Media Nusantara Citra Tbk. (MNCN)
476,477,MOLI,Madusari Murni Indah Tbk.,30 Ags 2018,2724036581,Pengembangan,Madusari Murni Indah Tbk. (MOLI)
477,478,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4462963276,Utama,Mitra Pinasthika Mustika Tbk. (MPMX)
478,479,MPOW,Megapower Makmur Tbk.,2017-07-05 00:00:00,816997053,Pengembangan,Megapower Makmur Tbk. (MPOW)
479,480,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,7899876910,Utama,Matahari Putra Prima Tbk. (MPPA)
480,481,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9942500000,Pengembangan,Maha Properti Indonesia Tbk. (MPRO)
481,482,MRAT,Mustika Ratu Tbk.,1995-07-27 00:00:00,428000000,Utama,Mustika Ratu Tbk. (MRAT)
482,483,MREI,Maskapai Reasuransi Indonesia,1989-09-04 00:00:00,517791681,Pengembangan,Maskapai Reasuransi Indonesia (MREI)
483,484,MSIN,MNC Studios International Tbk.,2018-06-08 00:00:00,11444400000,Utama,MNC Studios International Tbk. (MSIN)
484,485,MSKY,MNC Sky Vision Tbk.,2012-07-09 00:00:00,1994370480,Utama,MNC Sky Vision Tbk. (MSKY)
485,486,MTDL,Metrodata Electronics Tbk.,1990-04-09 00:00:00,2455376917,Utama,Metrodata Electronics Tbk. (MTDL)
486,487,MTEL,Dayamitra Telekomunikasi Tbk.,2021-11-22 00:00:00,83515452844,Utama,Dayamitra Telekomunikasi Tbk. (MTEL)
487,488,MTFN,Capitalinc Investment Tbk.,1990-04-16 00:00:00,31842082852,Pengembangan,Capitalinc Investment Tbk. (MTFN)
488,489,MTLA,Metropolitan Land Tbk.,2011-06-20 00:00:00,7655126330,UTAMA,Metropolitan Land Tbk. (MTLA)
489,490,MTPS,Meta Epsi Tbk.,2019-04-10 00:00:00,2084850829,PENGEMBANGAN,Meta Epsi Tbk. (MTPS)
490,491,MTRA,Mitra Pemuda Tbk.,2016-02-10 00:00:00,770000000,Pengembangan,Mitra Pemuda Tbk. (MTRA)
491,492,MTSM,Metro Realty Tbk.,1992-01-08 00:00:00,232848000,Pengembangan,Metro Realty Tbk. (MTSM)
492,493,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,1525819116,Pengembangan,Malacca Trust Wuwungan Insuran (MTWI)
493,494,MYOH,Samindo Resources Tbk.,2000-07-27 00:00:00,2206312500,Utama,Samindo Resources Tbk. (MYOH)
494,495,MYOR,Mayora Indah Tbk.,1990-07-04 00:00:00,22358699725,Utama,Mayora Indah Tbk. (MYOR)
495,496,MYRX,Hanson International Tbk.,31 Okt 1990,86703220792,Pengembangan,Hanson International Tbk. (MYRX)
496,497,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7747281949,UTAMA,Asia Pacific Investama Tbk. (MYTX)
497,498,NASA,Andalan Perkasa Abadi Tbk.,07 Ags 2017,11004929322,Pengembangan,Andalan Perkasa Abadi Tbk. (NASA)
498,499,NASI,Wahana Inti Makmur Tbk.,13 Des 2021,807400000,Pengembangan,Wahana Inti Makmur Tbk. (NASI)
499,500,NATO,Surya Permata Andalan Tbk.,2019-01-18 00:00:00,8001110304,Pengembangan,Surya Permata Andalan Tbk. (NATO)
500,501,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2350000000,PENGEMBANGAN,Pelayaran Nelly Dwi Putri Tbk. (NELY)
501,502,NFCX,NFC Indonesia Tbk.,2018-07-12 00:00:00,666667500,Pengembangan,NFC Indonesia Tbk. (NFCX)
502,503,NICK,Charnic Capital Tbk.,02 Mei 2018,651150000,PENGEMBANGAN,Charnic Capital Tbk. (NICK)
503,504,NICL,PAM Mineral Tbk.,2021-07-09 00:00:00,9662500000,Pengembangan,PAM Mineral Tbk. (NICL)
504,505,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2523350000,UTAMA,Pelat Timah Nusantara Tbk. (NIKL)
506,507,NIRO,City Retail Developments Tbk.,2012-09-13 00:00:00,22198871804,PENGEMBANGAN,City Retail Developments Tbk. (NIRO)
507,508,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22715776032,Utama,Bank OCBC NISP Tbk. (NISP)
508,509,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,4393604552,Utama,Bank Nationalnobu Tbk. (NOBU)
509,510,NPGF,Nusa Palapa Gemilang Tbk.,2021-04-14 00:00:00,3240235840,Utama,Nusa Palapa Gemilang Tbk. (NPGF)
510,511,NRCA,Nusa Raya Cipta Tbk.,2013-06-27 00:00:00,2496258344,UTAMA,Nusa Raya Cipta Tbk. (NRCA)
511,512,NUSA,Sinergi Megah Internusa Tbk.,2018-07-12 00:00:00,7700000148,Pengembangan,Sinergi Megah Internusa Tbk. (NUSA)
512,513,NZIA,Nusantara Almazia Tbk.,2019-09-25 00:00:00,2197540705,UTAMA,Nusantara Almazia Tbk. (NZIA)
513,514,OASA,Protech Mitra Perkasa Tbk.,2016-07-18 00:00:00,358600000,Pengembangan,Protech Mitra Perkasa Tbk. (OASA)
514,515,OBMD,OBM Drilchem Tbk.,08 Des 2021,732000000,Pengembangan,OBM Drilchem Tbk. (OBMD)
515,516,OCAP,Onix Capital Tbk.,10 Okt 2003,273200000,Pengembangan,Onix Capital Tbk. (OCAP)
516,517,OILS,Indo Oil Perkasa Tbk.,2021-09-06 00:00:00,454000000,Pengembangan,Indo Oil Perkasa Tbk. (OILS)
517,518,OKAS,Ancora Indonesia Resources Tbk,2006-03-29 00:00:00,1765927777,Pengembangan,Ancora Indonesia Resources Tbk (OKAS)
518,519,OMRE,Indonesia Prima Property Tbk,22 Ags 1994,1745000000,Pengembangan,Indonesia Prima Property Tbk (OMRE)
519,520,OPMS,Optima Prima Metal Sinergi Tbk,2019-09-23 00:00:00,1000000000,PENGEMBANGAN,Optima Prima Metal Sinergi Tbk (OPMS)
520,521,PADI,Minna Padi Investama Sekuritas,2012-01-09 00:00:00,11307246524,Utama,Minna Padi Investama Sekuritas (PADI)
521,522,PALM,Provident Agro Tbk.,08 Okt 2012,7119540356,Pengembangan,Provident Agro Tbk. (PALM)
522,523,PAMG,Bima Sakti Pertiwi Tbk.,2019-07-05 00:00:00,3125000000,Utama,Bima Sakti Pertiwi Tbk. (PAMG)
523,524,PANI,Pratama Abadi Nusa Industri Tb,2018-09-18 00:00:00,410000000,Pengembangan,Pratama Abadi Nusa Industri Tb (PANI)
524,525,PANR,Panorama Sentrawisata Tbk.,2001-09-18 00:00:00,1200000000,Utama,Panorama Sentrawisata Tbk. (PANR)
525,526,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720000000,Utama,Panin Sekuritas Tbk. (PANS)
526,527,PBID,Panca Budi Idaman Tbk.,13 Des 2017,1875000000,Utama,Panca Budi Idaman Tbk. (PBID)
527,528,PBRX,Pan Brothers Tbk.,16 Ags 1990,6478295611,Utama,Pan Brothers Tbk. (PBRX)
528,529,PBSA,Paramita Bangun Sarana Tbk.,2016-09-28 00:00:00,1500000000,Utama,Paramita Bangun Sarana Tbk. (PBSA)
529,530,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1166666700,Pengembangan,Prima Cakrawala Abadi Tbk. (PCAR)
530,531,PDES,Destinasi Tirta Nusantara Tbk,2008-07-08 00:00:00,715000000,Pengembangan,Destinasi Tirta Nusantara Tbk (PDES)
531,532,PEGE,Panca Global Kapital Tbk.,2005-06-24 00:00:00,2833417056,Pengembangan,Panca Global Kapital Tbk. (PEGE)
532,533,PEHA,Phapros Tbk.,26 Des 2018,840000000,UTAMA,Phapros Tbk. (PEHA)
533,534,PGAS,Perusahaan Gas Negara Tbk.,15 Des 2003,24241508196,Utama,Perusahaan Gas Negara Tbk. (PGAS)
534,535,PGJO,Tourindo Guide Indonesia Tbk.,2020-01-08 00:00:00,723859095,Akselerasi,Tourindo Guide Indonesia Tbk. (PGJO)
535,536,PGLI,Pembangunan Graha Lestari Inda,2000-04-05 00:00:00,488000000,PENGEMBANGAN,Pembangunan Graha Lestari Inda (PGLI)
536,537,PGUN,Pradiksi Gunatama Tbk.,2020-07-07 00:00:00,4998360000,Utama,Pradiksi Gunatama Tbk. (PGUN)
537,538,PICO,Pelangi Indah Canindo Tbk,1996-09-23 00:00:00,568375000,Pengembangan,Pelangi Indah Canindo Tbk (PICO)
538,539,PJAA,Pembangunan Jaya Ancol Tbk.,2004-07-02 00:00:00,1599999996,Utama,Pembangunan Jaya Ancol Tbk. (PJAA)
539,540,PKPK,Perdana Karya Perkasa Tbk,2007-07-11 00:00:00,600000000,Pengembangan,Perdana Karya Perkasa Tbk (PKPK)
540,541,PLAN,Planet Properindo Jaya Tbk.,2020-09-15 00:00:00,892856802,Akselerasi,Planet Properindo Jaya Tbk. (PLAN)
541,542,PLAS,Polaris Investama Tbk,2001-03-16 00:00:00,1184200000,PENGEMBANGAN,Polaris Investama Tbk (PLAS)
542,543,PLIN,Plaza Indonesia Realty Tbk.,1992-06-15 00:00:00,3550000000,Utama,Plaza Indonesia Realty Tbk. (PLIN)
543,544,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13755600000,Pengembangan,Putra Mandiri Jembar Tbk. (PMJS)
544,545,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2353000000,Utama,Panca Mitra Multiperdana Tbk. (PMMP)
545,546,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23837645998,Utama,Bank Pan Indonesia Tbk (PNBN)
546,547,PNBS,Bank Panin Dubai Syariah Tbk.,2014-01-15 00:00:00,38425504906,Utama,Bank Panin Dubai Syariah Tbk. (PNBS)
547,548,PNGO,Pinago Utama Tbk.,31 Ags 2020,781250000,Pengembangan,Pinago Utama Tbk. (PNGO)
548,549,PNIN,Paninvest Tbk.,1983-09-20 00:00:00,4068323920,Utama,Paninvest Tbk. (PNIN)
549,550,PNLF,Panin Financial Tbk.,1983-06-14 00:00:00,32022073293,UTAMA,Panin Financial Tbk. (PNLF)
550,551,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797813496,Pengembangan,Pudjiadi & Sons Tbk. (PNSE)
551,552,POLA,Pool Advista Finance Tbk.,2018-11-16 00:00:00,2729385000,Pengembangan,Pool Advista Finance Tbk. (POLA)
552,553,POLI,Pollux Hotels Group Tbk.,2019-01-10 00:00:00,2010526400,Pengembangan,Pollux Hotels Group Tbk. (POLI)
553,554,POLL,Pollux Properties Indonesia Tb,2018-07-11 00:00:00,8318823600,Utama,Pollux Properties Indonesia Tb (POLL)
554,555,POLU,Golden Flower Tbk.,2019-06-26 00:00:00,750000000,Pengembangan,Golden Flower Tbk. (POLU)
555,556,POLY,Asia Pacific Fibers Tbk,1991-03-12 00:00:00,2495753334,Pengembangan,Asia Pacific Fibers Tbk (POLY)
556,557,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2341366264,PENGEMBANGAN,Pool Advista Indonesia Tbk. (POOL)
557,558,PORT,Nusantara Pelabuhan Handal Tbk,2017-03-16 00:00:00,2813941985,Pengembangan,Nusantara Pelabuhan Handal Tbk (PORT)
558,559,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8388870206,Pengembangan,Bliss Properti Indonesia Tbk. (POSA)
559,560,POWR,Cikarang Listrindo Tbk.,2016-06-14 00:00:00,16087156000,Pengembangan,Cikarang Listrindo Tbk. (POWR)
560,561,PPGL,Prima Globalindo Logistik Tbk.,2020-07-20 00:00:00,750021341,Akselerasi,Prima Globalindo Logistik Tbk. (PPGL)
561,562,PPRE,PP Presisi Tbk.,2017-11-24 00:00:00,10224271000,Utama,PP Presisi Tbk. (PPRE)
562,563,PPRO,PP Properti Tbk.,19 Mei 2015,61675671883,Utama,PP Properti Tbk. (PPRO)
563,564,PRAS,Prima Alloy Steel Universal Tb,1990-07-12 00:00:00,701043478,Utama,Prima Alloy Steel Universal Tb (PRAS)
564,565,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937500000,Utama,Prodia Widyahusada Tbk. (PRDA)
565,566,PRIM,Royal Prima Tbk.,15 Mei 2018,3393434905,Pengembangan,Royal Prima Tbk. (PRIM)
566,567,PSAB,J Resources Asia Pasifik Tbk.,2003-04-22 00:00:00,26460000000,Pengembangan,J Resources Asia Pasifik Tbk. (PSAB)
567,568,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1440000000,PENGEMBANGAN,Prasidha Aneka Niaga Tbk (PSDN)
568,569,PSGO,Palma Serasih Tbk.,2019-11-25 00:00:00,18850000000,PENGEMBANGAN,Palma Serasih Tbk. (PSGO)
569,570,PSKT,Red Planet Indonesia Tbk.,1995-09-19 00:00:00,10351231636,Pengembangan,Red Planet Indonesia Tbk. (PSKT)
570,571,PSSI,Pelita Samudera Shipping Tbk.,05 Des 2017,5417063153,Utama,Pelita Samudera Shipping Tbk. (PSSI)
